date,open,high,low,close,volume
02/02/1979,4.7702,4.7702,4.7184,4.728,21819
05/02/1979,4.703,4.703,4.6704,4.6896,30598
06/02/1979,4.6896,4.7011,4.6474,4.6551,34192
07/02/1979,4.6503,4.6503,4.6096,4.6309,43723
08/02/1979,4.6406,4.6639,4.6406,4.6484,20226
09/02/1979,4.6562,4.6833,4.6562,4.6814,23654
12/02/1979,4.6814,4.7628,4.6503,4.757,20434
13/02/1979,4.759,4.8094,4.759,4.7803,34429
14/02/1979,4.7802,4.7822,4.7162,4.7395,21394
15/02/1979,4.7395,4.7861,4.724,4.7822,17422
16/02/1979,4.7783,4.7783,4.7472,4.755,18175
20/02/1979,4.755,4.7841,4.7318,4.7783,20330
21/02/1979,4.7783,4.788,4.7415,4.7473,17863
22/02/1979,4.7395,4.7395,4.6871,4.7104,22147
23/02/1979,4.7085,4.7085,4.6736,4.6891,13008
26/02/1979,4.6929,4.7278,4.6929,4.7162,11995
27/02/1979,4.7162,4.7162,4.6251,4.6406,31001
28/02/1979,4.6406,4.6697,4.6329,4.6542,21498
01/03/1979,4.6542,4.6775,4.6329,4.6697,21161
02/03/1979,4.6697,4.6736,4.6425,4.6658,16202
05/03/1979,4.6871,4.7744,4.6871,4.7492,24276
06/03/1979,4.7492,4.755,4.7124,4.7143,24043
07/03/1979,4.7182,4.7745,4.7182,4.7279,20096
08/03/1979,4.7279,4.8016,4.7201,4.7938,18772
09/03/1979,4.7938,4.8074,4.7705,4.7744,23290
12/03/1979,4.7744,4.8093,4.7395,4.8093,28846
13/03/1979,4.8094,4.8365,4.7803,4.7861,31469
14/03/1979,4.7861,4.8055,4.759,4.7706,20901
15/03/1979,4.7706,4.7881,4.7357,4.7609,17786
16/03/1979,4.7609,4.7977,4.759,4.79,17604
19/03/1979,4.7996,4.8442,4.7996,4.819,23861
20/03/1979,4.819,4.8345,4.8016,4.8171,18616
21/03/1979,4.8171,4.9024,4.8132,4.9024,31079
22/03/1979,4.9024,4.9257,4.883,4.9024,33572
23/03/1979,4.9024,4.9179,4.883,4.8869,24199
26/03/1979,4.8792,4.8792,4.8404,4.8443,23446
27/03/1979,4.852,4.9761,4.852,4.9761,36687
28/03/1979,4.9626,4.9626,4.918,4.9296,39803
29/03/1979,4.9296,4.9548,4.9141,4.9296,29262
30/03/1979,4.9296,4.9432,4.8792,4.8947,23212
02/04/1979,4.8946,4.8946,4.8481,4.8733,24926
03/04/1979,4.8791,4.9606,4.8791,4.9567,32585
04/04/1979,4.9567,4.9858,4.9024,4.9257,36999
05/04/1979,4.9257,4.9761,4.9218,4.9761,26743
06/04/1979,4.9703,4.9703,4.9296,4.9412,20044
09/04/1979,4.9412,4.9606,4.918,4.949,22044
10/04/1979,4.949,4.9955,4.947,4.9645,26354
11/04/1979,4.9645,4.9878,4.8404,4.8404,52318
12/04/1979,4.8404,4.8753,4.8249,4.8365,28950
16/04/1979,4.8364,4.8617,4.8248,4.8345,25523
17/04/1979,4.8345,4.8636,4.8287,4.8481,24276
18/04/1979,4.8482,4.8714,4.8404,4.8404,22641
19/04/1979,4.8404,4.854,4.7822,4.7919,20927
20/04/1979,4.7918,4.7977,4.7511,4.7589,32195
23/04/1979,4.7628,4.8132,4.7628,4.8093,32014
24/04/1979,4.8093,4.8539,4.8054,4.8132,26639
25/04/1979,4.8133,4.8443,4.8075,4.8404,20875
26/04/1979,4.8404,4.8404,4.7861,4.7919,30093
27/04/1979,4.7919,4.8171,4.7706,4.8171,25523
30/04/1979,4.8171,4.8753,4.8055,4.8753,30352
01/05/1979,4.8753,4.9257,4.8753,4.8966,30794
02/05/1979,4.8966,4.9412,4.8869,4.9335,25627
03/05/1979,4.9335,4.9878,4.9335,4.9606,38687
04/05/1979,4.9792,4.9792,4.8773,4.8812,31994
07/05/1979,4.8597,4.8597,4.8323,4.846,22152
08/05/1979,4.846,4.8969,4.8401,4.893,33202
09/05/1979,4.893,4.9048,4.8577,4.8577,22257
10/05/1979,4.8577,4.8636,4.7989,4.8185,19475
11/05/1979,4.8225,4.846,4.8225,4.8362,17664
14/05/1979,4.8362,4.8578,4.8225,4.8303,13097
15/05/1979,4.8302,4.8616,4.7832,4.7832,25197
16/05/1979,4.7832,4.8146,4.7479,4.8107,22651
17/05/1979,4.8107,4.8538,4.7989,4.8538,18661
18/05/1979,4.8538,4.8577,4.8146,4.8224,18845
21/05/1979,4.8224,4.844,4.8185,4.8342,17270
22/05/1979,4.8342,4.8695,4.8225,4.846,19790
23/05/1979,4.846,4.8695,4.7989,4.7989,17296
24/05/1979,4.7989,4.8225,4.7872,4.8107,18871
25/05/1979,4.8107,4.8205,4.8029,4.8107,10787
29/05/1979,4.8107,4.8185,4.795,4.8146,14803
30/05/1979,4.8048,4.8048,4.7519,4.7617,19055
31/05/1979,4.7616,4.7793,4.7401,4.7675,33989
01/06/1979,4.791,4.791,4.7597,4.7832,60157
04/06/1979,4.7832,4.791,4.7518,4.7675,51390
05/06/1979,4.7754,4.893,4.7754,4.8852,85433
06/06/1979,4.8851,4.9087,4.8538,4.8616,92781
07/06/1979,4.8695,4.9087,4.8695,4.8852,72047
08/06/1979,4.8852,4.8852,4.8224,4.8538,81915
11/06/1979,4.8538,4.8694,4.8067,4.8616,74671
12/06/1979,4.8616,4.9244,4.8616,4.893,134409
13/06/1979,4.893,4.893,4.7206,4.7284,159502
14/06/1979,4.7205,4.7205,4.6264,4.6813,164908
15/06/1979,4.6813,4.7048,4.6343,4.6578,135774
18/06/1979,4.6421,4.6421,4.5559,4.5637,94042
19/06/1979,4.5636,4.6107,4.5323,4.5558,103568
20/06/1979,4.5559,4.6265,4.5245,4.5794,157271
21/06/1979,4.5793,4.6734,4.5715,4.6107,118162
22/06/1979,4.6342,4.6577,4.6342,4.6499,79894
25/06/1979,4.6499,4.6734,4.6028,4.6342,75905
26/06/1979,4.6578,4.6578,4.548,4.5637,100551
27/06/1979,4.5793,4.6734,4.5793,4.6107,88792
28/06/1979,4.6185,4.6499,4.6185,4.6342,63306
29/06/1979,4.6343,4.65,4.5794,4.6029,81365
02/07/1979,4.6028,4.6185,4.5087,4.5401,93385
03/07/1979,4.5401,4.5479,4.5244,4.5401,54881
05/07/1979,4.5402,4.5402,4.501,4.5245,81680
06/07/1979,4.5245,4.8146,4.5088,4.6186,104882
09/07/1979,4.6185,4.6421,4.5715,4.6107,76981
10/07/1979,4.6107,4.6185,4.5166,4.5323,99133
11/07/1979,4.5323,4.5401,4.4617,4.4931,99763
12/07/1979,4.4852,4.4852,4.3912,4.399,159763
13/07/1979,4.3912,4.3912,4.3285,4.3912,259187
16/07/1979,4.3911,4.4303,4.3755,4.4225,95905
17/07/1979,4.4147,4.4147,4.3441,4.3441,146745
18/07/1979,4.3441,4.3598,4.2971,4.3598,145538
19/07/1979,4.3598,4.3912,4.352,4.3598,99134
20/07/1979,4.3598,4.399,4.3598,4.3755,133176
23/07/1979,4.352,4.352,4.2892,4.3363,109659
24/07/1979,4.3363,4.3677,4.3206,4.3206,80446
25/07/1979,4.3363,4.3676,4.3363,4.3598,96614
26/07/1979,4.352,4.352,4.2971,4.2971,129712
27/07/1979,4.2971,4.3598,4.2657,4.2971,101339
30/07/1979,4.2971,4.3755,4.2971,4.3363,57087
31/07/1979,4.3441,4.3912,4.3441,4.3755,81758
01/08/1979,4.3755,4.3912,4.3441,4.3912,84095
02/08/1979,4.3911,4.4068,4.3441,4.3676,89999
03/08/1979,4.3598,4.3598,4.3128,4.3206,68950
06/08/1979,4.3206,4.3519,4.2814,4.3441,82257
07/08/1979,4.3598,4.4617,4.3598,4.4382,171862
08/08/1979,4.469,4.469,4.3896,4.4055,154874
09/08/1979,4.3976,4.3976,4.3659,4.3738,154876
10/08/1979,4.3737,4.4769,4.3499,4.469,133539
13/08/1979,4.469,4.469,4.4293,4.4611,129926
14/08/1979,4.4611,4.469,4.4293,4.4611,141802
15/08/1979,4.4611,4.596,4.4373,4.5881,132397
16/08/1979,4.5881,4.604,4.5087,4.5484,126684
17/08/1979,4.5484,4.5643,4.5087,4.5246,75086
20/08/1979,4.5246,4.5643,4.5008,4.5484,93073
21/08/1979,4.5484,4.5484,4.477,4.5008,69480
22/08/1979,4.5008,4.5167,4.4691,4.477,141272
23/08/1979,4.477,4.4928,4.4135,4.4214,104126
24/08/1979,4.4214,4.477,4.3896,4.4214,89540
27/08/1979,4.4214,4.4849,4.4134,4.4452,90044
28/08/1979,4.4452,4.4531,4.4214,4.4452,104525
29/08/1979,4.4452,4.4611,4.4214,4.4214,77902
30/08/1979,4.4213,4.4452,4.4134,4.4134,54547
31/08/1979,4.4293,4.4452,4.4293,4.4452,71286
04/09/1979,4.4373,4.4373,4.35,4.3579,101363
05/09/1979,4.35,4.35,4.2706,4.3341,184182
06/09/1979,4.3341,4.3341,4.2865,4.2944,83987
07/09/1979,4.2944,4.3182,4.2785,4.3023,108032
10/09/1979,4.3023,4.3102,4.2785,4.2864,81249
11/09/1979,4.2864,4.3023,4.1991,4.2229,123946
12/09/1979,4.223,4.2309,4.1753,4.2071,173448
13/09/1979,4.207,4.2467,4.1991,4.2388,106092
14/09/1979,4.2389,4.3421,4.223,4.3103,133407
17/09/1979,4.342,4.3975,4.342,4.3499,143182
18/09/1979,4.35,4.35,4.3024,4.3103,108326
19/09/1979,4.3102,4.3579,4.3023,4.3023,105348
20/09/1979,4.3023,4.5325,4.2944,4.5246,116880
21/09/1979,4.5087,4.5087,4.4055,4.4452,166352
24/09/1979,4.4373,4.4373,4.3024,4.3103,139678
25/09/1979,4.3103,4.3976,4.223,4.3579,168824
26/09/1979,4.3579,4.4134,4.3182,4.3261,131545
27/09/1979,4.3262,4.3659,4.2944,4.3341,96847
28/09/1979,4.3341,4.3499,4.2864,4.3023,85023
01/10/1979,4.2944,4.2944,4.2547,4.2944,69612
02/10/1979,4.2944,4.3659,4.2706,4.3341,105668
03/10/1979,4.3341,4.3817,4.3262,4.3341,94323
04/10/1979,4.3341,4.3738,4.3341,4.3579,71685
05/10/1979,4.3579,4.4135,4.35,4.3738,97511
08/10/1979,4.3737,4.3817,4.2547,4.2785,112469
09/10/1979,4.2785,4.2785,4.1912,4.1912,153333
10/10/1979,4.1912,4.3023,4.1277,4.3023,276058
11/10/1979,4.2943,4.2943,4.207,4.2229,150356
12/10/1979,4.2229,4.2626,4.1674,4.1753,124372
15/10/1979,4.1753,4.1833,4.1277,4.1515,172995
16/10/1979,4.1515,4.1753,4.0642,4.0721,253845
17/10/1979,4.0722,4.096,4.0087,4.0166,133673
18/10/1979,4.0165,4.0483,3.9927,3.9927,166217
19/10/1979,3.9927,4.0006,3.9213,3.9292,151950
22/10/1979,3.9292,4.088,3.8816,3.9689,165208
23/10/1979,3.9689,4.0245,3.9372,3.9848,150357
24/10/1979,3.9848,4.0086,3.961,3.9689,159017
25/10/1979,3.9689,3.9927,3.9213,3.9451,89566
26/10/1979,3.9452,3.961,3.9213,3.9531,79736
29/10/1979,3.953,3.9927,3.953,3.9689,67991
30/10/1979,3.969,4.0642,3.969,4.0642,94163
31/10/1979,4.0642,4.0721,3.961,3.961,110556
01/11/1979,3.961,4.0403,3.953,4.0324,88476
02/11/1979,4.0325,4.0484,4.0166,4.0166,69534
